episode,reward,score,steps,epsilon,loss_mean,ma100_reward
294,-2.7743,0,350,0.5562,0.062899,-0.9534
295,2.7475,1,107,0.5551,0.057659,-0.9214
296,-2.202,0,235,0.554,0.063039,-0.9293
297,-0.1182,0,80,0.5529,0.061409,-0.9092
298,-0.2705,0,86,0.5518,0.060744,-0.9006
299,-1.782,0,223,0.5507,0.062679,-0.9053
300,-1.038,0,30,0.5496,0.060289,-0.9163
301,-0.3459,0,70,0.5485,0.058044,-0.9098
302,-2.4306,0,90,0.5474,0.063511,-0.9163
303,1.3287,0,53,0.5463,0.053527,-0.9109
304,0.4168,0,80,0.5452,0.06832,-0.8917
305,-0.5589,0,98,0.5441,0.066527,-0.8789
306,-0.1981,0,27,0.543,0.083638,-0.8849
307,0.353,0,153,0.5419,0.071189,-0.8738
308,-0.0551,0,90,0.5408,0.063498,-0.8587
309,-2.2649,0,142,0.5398,0.068451,-0.8823
310,0.4066,0,37,0.5387,0.066211,-0.8988
311,-1.0,0,1,0.5376,0.06963,-0.8998
312,-1.6214,0,30,0.5365,0.075926,-0.9161
313,-1.2543,0,17,0.5355,0.065938,-0.9246
314,3.7077,1,95,0.5344,0.059636,-0.8756
315,-0.0032,0,19,0.5333,0.062079,-0.8637
316,3.3294,1,57,0.5323,0.064273,-0.8065
317,-0.8827,0,6,0.5312,0.103109,-0.8053
318,-1.6273,0,242,0.5301,0.073472,-0.81
319,0.6447,0,132,0.5291,0.071521,-0.7777
320,0.1387,0,318,0.528,0.070472,-0.7761
321,-0.2633,0,22,0.527,0.072447,-0.749
322,1.6621,0,45,0.5259,0.076689,-0.7224
323,-1.2797,0,24,0.5248,0.06698,-0.7028
324,-1.3193,0,67,0.5238,0.069967,-0.706
325,-1.3434,0,11,0.5228,0.062388,-0.717
326,0.7196,0,137,0.5217,0.07532,-0.7159
327,-0.9596,0,23,0.5207,0.072428,-0.7094
328,0.0133,0,56,0.5196,0.083878,-0.6858
329,0.3814,0,37,0.5186,0.065104,-0.6756
330,0.4496,0,71,0.5175,0.065692,-0.6696
331,-0.0715,0,75,0.5165,0.069005,-0.6782
332,-0.5586,0,245,0.5155,0.069042,-0.6651
333,-0.1602,0,49,0.5144,0.067223,-0.6516
334,0.6534,0,42,0.5134,0.077812,-0.6277
335,1.4536,0,37,0.5124,0.078917,-0.5996
336,0.1877,0,118,0.5114,0.072429,-0.5936
337,-1.4734,0,158,0.5103,0.069285,-0.5907
338,0.7336,0,40,0.5093,0.061323,-0.5919
339,-1.0,0,1,0.5083,0.126773,-0.5881
340,-0.1345,0,153,0.5073,0.070463,-0.5831
341,-0.4524,0,81,0.5063,0.076643,-0.5771
342,-1.0,0,1,0.5053,0.122949,-0.5762
343,1.4276,0,54,0.5042,0.065629,-0.5507
344,-1.326,0,98,0.5032,0.07045,-0.5774
345,-1.0915,0,88,0.5022,0.070056,-0.5812
346,-1.0709,0,17,0.5012,0.059564,-0.5803
347,0.9525,0,104,0.5002,0.077981,-0.5536
348,-0.8587,0,209,0.4992,0.071522,-0.5507
349,-0.0192,0,47,0.4982,0.077495,-0.5436
350,-1.0713,0,400,0.4972,0.071079,-0.5577
351,3.1914,1,95,0.4962,0.071734,-0.5092
352,1.3411,0,51,0.4952,0.069948,-0.4874
353,-0.4595,0,43,0.4943,0.059048,-0.4854
354,0.6745,0,52,0.4933,0.05835,-0.4686
355,-1.0816,0,14,0.4923,0.076683,-0.4707
356,-1.061,0,53,0.4913,0.064366,-0.47
357,-0.4194,0,16,0.4903,0.074294,-0.4641
358,-0.9795,0,40,0.4893,0.070532,-0.4763
